iter	Passed	Remaining
0	5	1170
1	12	1245
2	18	1190
3	24	1177
4	29	1137
5	34	1128
6	40	1123
7	46	1117
8	52	1104
9	58	1117
10	64	1104
11	69	1094
12	76	1093
13	81	1082
14	86	1069
15	92	1061
16	98	1058
17	104	1055
18	110	1050
19	116	1044
20	121	1038
21	128	1039
22	133	1027
23	140	1027
24	145	1018
25	152	1017
26	157	1010
27	163	1005
28	169	998
29	174	987
30	179	976
31	184	967
32	189	960
33	195	954
34	213	1006
35	219	1001
36	225	994
37	230	984
38	236	976
39	241	966
40	246	955
41	252	950
42	258	943
43	265	940
44	271	934
45	277	929
46	285	928
47	291	924
48	298	919
49	304	914
50	310	908
51	318	906
52	325	901
53	332	898
54	339	893
55	345	887
56	352	885
57	358	877
58	365	873
59	370	864
60	375	856
61	383	852
62	390	848
63	396	842
64	402	835
65	407	827
66	413	821
67	419	813
68	425	806
69	431	800
70	436	793
71	441	785
72	448	780
73	453	772
74	459	766
75	465	759
76	471	753
77	479	749
78	485	742
79	490	736
80	497	730
81	504	726
82	514	724
83	520	718
84	527	713
85	533	706
86	539	700
87	545	694
88	550	686
89	556	680
90	562	673
91	567	665
92	572	658
93	577	651
94	583	645
95	596	645
96	602	640
97	608	633
98	614	626
99	619	619
100	624	612
101	629	604
102	634	597
103	640	591
104	645	583
105	650	577
106	656	570
107	661	563
108	666	556
109	672	549
110	677	542
111	682	536
112	688	530
113	694	524
114	700	517
115	705	511
116	711	504
117	717	498
118	722	491
119	726	484
120	732	478
121	738	472
122	745	466
123	752	461
124	757	454
125	762	447
126	768	442
127	774	435
128	780	429
129	785	423
130	791	416
131	796	410
132	802	404
133	808	398
134	814	392
135	820	386
136	825	379
137	833	374
138	839	368
139	845	362
140	851	356
141	856	350
142	863	344
143	869	337
144	874	331
145	882	326
146	887	320
147	893	314
148	899	307
149	905	301
150	912	296
151	918	289
152	923	283
153	930	278
154	936	271
155	942	265
156	948	259
157	953	253
158	959	247
159	965	241
160	970	235
161	976	229
162	982	223
163	987	216
164	994	211
165	1000	204
166	1006	198
167	1011	192
168	1017	186
169	1022	180
170	1028	174
171	1033	168
172	1039	162
173	1044	156
174	1050	150
175	1055	143
176	1061	137
177	1066	131
178	1072	125
179	1078	119
180	1084	113
181	1090	107
182	1096	101
183	1102	95
184	1107	89
185	1112	83
186	1118	77
187	1125	71
188	1130	65
189	1136	59
190	1142	53
191	1147	47
192	1154	41
193	1159	35
194	1165	29
195	1172	23
196	1178	17
197	1193	12
198	1200	6
199	1205	0
